x,y,Position
-14.704642,-22.008352,Data Analyst
-10.404661,4.316638,Business Development
-27.797222,9.20967,Machine Learning Leader
-29.707249,9.926259,Machine Learning Intern
-17.163347,4.902956,Technical Lead
-16.219984,-20.262882,Data Science Analyst
-14.619657,-21.99877,Data Analyst
-23.740536,-22.095175,Data Scientist
-28.069826,2.8124301,Data Science - Applied Intelligence
-14.670905,-22.005295,Data Analyst
-21.423971,-1.574513,Business Intelligence Consultant
-1.9035075,21.183933,Translator and Presenter
0.39724302,-7.9096065,Ejecutivo de Data Analytics
-23.740536,-22.095175,Data Scientist
-14.679315,-22.006424,Data Analyst
-22.82279,0.7262614,Reporting Analyst (BI analyst)
13.50722,4.3688297,Practicante en el departamento de Planificacion y Control de Mantenimiento
-19.722256,-14.882066,Senior Data Analyst
-19.636053,15.167331,Agile Business analyst /Scrum Master
12.95369,9.183162,Científico de datos
-23.740536,-22.095175,Data Scientist
18.804277,-23.968552,Analista de Data 
1.1296453,-13.3016815,Programador de Inteligencia Artificial
-28.658852,4.402155,Postdoctoral Researcher in Neuroscience Data Analytics
18.892889,-23.940575,Analista de datos
-8.386642,-5.0516686,Sales Marketing Manager
-22.801298,-6.343446,Market Data Analyst
14.126323,11.995214,Analista de Datos Clínicos en el Departamento de Hospitales
-26.79415,2.080048,Advanced Data Analyst
-16.788616,-2.099729,Health and Benefits Analyst
-24.805742,-4.8316207,Data Science & Analytics Consultant I
-21.790567,-5.713269,Business Intelligence Analyst
-19.986403,16.065598,Solutions assistant
-2.230423,-9.529337,Analista Business Intelligence
-33.54495,-13.486018,Data Engineer
-31.084906,13.335266,Machine Learning Engineer
-30.550577,9.609268,Artificial Intelligence Engineer | Machine Learning Engineer
-14.946831,-22.022873,Data Analyst
-19.722292,-14.881951,Senior Data Analyst
16.508837,-8.253487,Técnico Especialista de Apoyo a la Investigación 
-28.764444,-13.106186,Data Technician
-23.740536,-22.095175,Data Scientist
-14.649421,-22.004354,Data Analyst
-18.83867,2.3593826,Scientific Researcher
-12.659502,-19.704775,Data-analyst
5.1789136,4.77571,Global Talent Business Partner en etermax #BeAGameChanger
18.892893,-23.940638,Analista de datos
0.98279446,-7.8288054,Jefe de Data y Analítica Digital
5.389025,-6.8287644,Sector Financiero 
-15.681206,10.002232,Developer
-31.552122,-2.5333836,Data Management Specialist Intern
-28.746426,-13.119458,Data Specialist
11.912163,-0.036621727,Profesor particular de programación (python)
18.89294,-23.940659,Analista de datos
-30.716833,-1.065287,Data Science Student
-14.604622,-21.997215,Data Analyst
-12.660431,-19.704773,Data-analyst
-12.659502,-19.704775,Data-analyst
-14.569269,-21.990675,Data Analyst
15.102745,5.3957405,Analista de soporte de aplicaciones
-29.94007,-6.3112283,Data Engineer Sr Analyst
-10.971071,-15.470154,Head of Artificial Intelligence
-35.039635,-17.916157,Data Engineer
-37.685295,4.668492,Software Developer
-31.477478,-1.8175982,Data Analyst Intern 
-9.89482,-5.461468,Marketing Analyst
-23.18164,-4.3096166,Data Engineer Analyst - Strategy & Consulting | Applied Intelligence LATAM HUB
-23.672968,-22.605455,Data Scientist
-15.391374,6.6018944,Technical Talent Acquisition Specialist
-22.430965,-13.928824,Senior Data Scientist
4.0266123,20.226862,Co-Founder
-23.672968,-22.605455,Data Scientist
-23.672968,-22.605455,Data Scientist
-23.672968,-22.605455,Data Scientist
-16.294992,-11.451103,Director of Data Science / Artificial Intelligence Product Success & Solution Management
-30.817938,7.7591186,Senior Software Engineering Manager - AI/ML
-1.5228419,-0.83288854,CEO
-11.267678,-15.5448065,Director of Artificial Intelligence
-14.685795,-22.007036,Data Analyst
-23.672968,-22.605455,Data Scientist
-21.79037,-5.7134247,Business Intelligence Analyst
-23.119892,-4.3014164,Data Engineer - Strategy & Consulting | Applied Intelligence LATAM HUB
-34.249714,6.905388,Machine Learning Engineer
-14.685795,-22.007036,Data Analyst
-14.685795,-22.007036,Data Analyst
-15.927065,-12.368693,"Analyst at Deloitte | AI, Cognitive & Advanced Analytics"
21.271101,0.79186344,Redes y Comunicaciones
-16.423374,3.0974066,Senior Artificial-Intelligence Product Manager
-14.728718,-22.009672,Data Analyst
-18.258512,-7.768547,Senior Data Analyst for HR
-10.9925375,-15.362432,Co-Founder & Chief Artificial Intelligence Officer
-12.705659,16.926655,Master Thesis Student
-29.863455,11.700394,Artificial Intelligence Engineer
-15.09271,3.0894165,Solutions Architect
7.5827365,3.5086105,Ingeniero de Desarrollo de Software
-19.906918,-3.1480415,Data Engineer- Getnet - Santander
-0.88028926,-2.7815065,Executive Director
4.0259843,20.225903,Co-Founder
-3.31266,25.583113,Enthusiastic Kaggler
-16.560719,-11.338988,"Manager on Digital, Data Analytics & Artificial Intelligence"
-11.761837,3.9902532,Business Developer - Services & Technology
-14.884911,24.916704,Software Engineer - Web UI SSr Adv
-8.733246,2.220494,Sr. Business Development Manager
-1.0390325,2.0881727,CEO & Cofundador
-11.827939,7.0721784,Field Supervisor Engineer
-4.7391143,12.5366745,Sales Division
-20.610512,11.7388315,Software Developer and Consultant
-12.490507,16.320059,Student Mentor
-20.919374,23.363602,Head of Data
-15.441523,-10.778341,Head of Analytics and IT Architecture
-8.429184,-12.554696,VP of Engineering
-18.83867,2.3593826,Scientific Researcher
-11.297499,17.002169,Lecturer
-16.863543,23.35877,Data Scientist - EY EMEIA FSO wavespace™ Artificial Intelligence Center
25.102606,8.533109,Gerente de Arquitetura de Dados
-21.449142,6.6483197,Senior Design Engineer
-18.767946,2.2803557,Research Scientist
-22.587992,-22.207226,Data Scientist
-4.459865,22.665773,Lead
-14.9568405,-22.015656,Data Analyst
-29.71127,0.48271528,Data Scientist - AI
-22.587992,-22.207226,Data Scientist
11.545545,1.4569598,Formación para emprendedores - Tutor de grupos de alumnos
-25.898115,3.801977,Data Analyst || Visualization and Reporting (Team Lead)
-23.510574,2.4539707,"Solution Sales Professional - Data Platform (BI, Big Data, Cloud, on prem, IoT)"
-10.404661,4.316638,Business Development
-14.254969,-1.2486869,Senior Business Development Consultant
-22.587992,-22.207226,Data Scientist
-15.927063,-12.368763,"Analyst at Deloitte | AI, Cognitive & Advanced Analytics"
-17.332516,-18.689932,Data Analytics Specialist
-22.587992,-22.207226,Data Scientist
-25.781452,-11.040784,Expert Data Scientist
-29.697575,-11.703896,Data Engineer
-21.071209,-9.305054,Data Science & Analytics Manager
-1.5884984,-7.3253818,Head of Artificial Intelligence and Data Science. DataFreak at Orange Spain
-10.971071,-15.470154,Head of Artificial Intelligence
-9.80185,5.7787967,DnA Senior Manager
-5.5410085,9.810346,Client Partner
-20.131683,22.404385,Concept Innovation Manager - Data Analytics and AI
-31.850603,10.304528,Machine Learning Engineer
-22.387884,-13.8834505,Senior Data Scientist
-14.234458,-14.374869,Sr. Director of Innovation and Data Science
1.8497798,21.494867,Co-Founder HuemulSolutions
-26.289993,-4.2309265,Analytics and data analyst
-26.259031,5.8670406,Project Manager Artificial Intelligence and Data  
-22.077793,-0.07219497,Analytics & Cognitive Strategy Consultant
-24.133526,-6.3683476,Lead Data Science Consultant 
-29.828836,9.509814,Ph.D. Student in Computer Science (Artificial Intelligence and Machine Learning)
-22.587992,-22.207226,Data Scientist
-8.921992,11.203198,"Director, LatAm Presales Solution Architecture"
-29.86295,11.700378,Artificial Intelligence Engineer
-3.3777137,26.175968,[ Garden Leave ]
-20.853443,-0.950008,Senior Analytics Manager | Digital Banking
-18.637514,10.446658,Distinguished Engineer
-1.962684,-7.3748255,Director de Machine Learning
8.05429,4.2610545,Développeur Web en intelligence artificielle
-22.09271,-2.2446132,Designer - Analytics Consultant
-23.297789,-19.227657,Data Scientist
-29.571491,10.091957,Artificial Intelligence Intern
-30.727707,3.4327838,Computational Scientist
-23.297789,-19.227657,Data Scientist
-14.932027,-10.363786,Corporate Innovation & Development Analytics Manager
-26.072624,3.3600948,Data & Intelligence Lead
18.55386,-19.888002,Analista de Negocio
-15.083712,-15.299618,Chief Data Scientist
-26.74217,6.1344695,Enterprise Account Manager | Data & AI
-22.622768,-7.9638133,Senior Data Scientist | Product 
1.66208,19.040216,Co-Founder (CTO)
-18.570387,14.102967,Cognitive Architect & Delivery Technical Leader
-27.927471,7.522853,Artificial Intelligence & Data Partner
-24.582756,-18.526915,Data Scientist
-21.700232,7.459639,Senior Backend Engineer
-24.582756,-18.526915,Data Scientist
-32.57706,7.530063,Senior Machine Learning Engineer
-16.372229,-11.383957,"Head of Data, Artificial Intelligence, CRM & Marketing Automation"
-18.466467,16.513021,"Senior Engineering Manager, Search Relevance "
-9.938425,13.072839,Credit & Manuel Review Sr Specialist
-27.442278,6.013168,Data Analytics & Artificial Intelligence (AI) / Azure Cloud  Engineer
-22.398743,-13.8771715,Senior Data Scientist
-14.699798,-22.008026,Data Analyst
-14.702098,-22.008123,Data Analyst
-14.738896,-22.00983,Data Analyst
7.5213203,-21.112995,Coordinador General de Comunicación y Comunidad
-25.514925,-9.511594,Sr. Data Analyst
22.13256,-9.830738,Representante de cuentas
7.29249,24.91274,Propietario
-23.208626,-0.06814838,Business Data Architect
0.2057213,-15.09621,Head de Arquitectura y Business Intelligence
-23.95878,-8.3990135,Data Analyst Ssr.
-27.436384,-3.6316533,Data Scientist & Product Analyst 
24.122602,13.699586,Jefe control de Gestión
-31.477226,-1.8177135,Data Analyst Intern
-14.68991,-22.00732,Data Analyst
-0.06434061,-10.376144,Analista de Business Intelligence
-0.019430567,-13.449367,Analista Programador
-12.298705,1.4843395,Outreach Specialist
-11.110724,5.1274295,Customer Service SR
-30.942078,-2.651583,Junior Data Analyst
3.1954618,-11.158982,Consultora BI
-23.359715,-18.46392,Data Scientist
-15.932503,-0.35041416,Business Developer
15.095053,13.607659,Analista III - Gerencia de Servicios de Canales Electrónicos y Efectivo
-21.9357,-0.63742316, Consultor Business Intelligence
-22.394297,-13.878765,Senior Data Scientist
4.290514,-8.621741,Analista BI
-12.078868,9.065364,Artificial Intelligence Manager
-2.630895,-10.970092,Investigador Principal en el Proyecto Fin de Máster en Ingeniería de Datos Masivos (Big Data)
0.4485596,-13.285503,Operador informático
17.496054,6.829697,Catedra de Calidad y Técnicas de Gestión 
-2.6835322,-16.45581,Consultor BI
-1.6976795,-6.857924,Global Head of AI & Analytics en Telefonica IoT & Big Data Tech
3.6082127,-22.800209,DIRECTOR DE CATÁLOGO
-21.585003,-1.4697734,BI & Analytics Consultant
-21.270987,-7.1075,BI Analyst Sr.
-23.936615,-10.075564,Data Scientist - Desarrollador
-23.157354,-18.476715,Data scientist
-32.557865,-6.405783,Senior Data Engineer
-23.303751,2.3558664,Business Intelligence Lead
-24.939137,2.249005,Especialista BI & Analytics Ssr
-27.344803,-3.4740756,Data & BI Engineer
-2.6426961,-10.3371,Especialista BI y Analytics
-22.46449,-20.113823,Data Scientist
-16.216448,-12.92194,Associate Director Data & Artificial Intelligence
-16.455158,-11.360935,Director Artificial Intelligence & Advanced Analytics
-27.315134,-0.81828994,Data quality assurance engineer 
-14.626411,-21.999832,Data Analyst
-10.583935,21.83376,Team Lead Content Curation
-19.924225,3.5737033,Associate Director - A.I. Model Development
-14.728718,-22.009672,Data Analyst
-0.06434061,-10.376144,Analista de Business Intelligence
-2.636733,-9.986799,Especialista BI & Analytics
-23.93511,-11.821097,Associate Data Scientist
1.3369536,17.844233,CEO and Co-Founder
-18.00658,-10.414765,Data Science Team Leader
-22.44219,-20.229643,Data Scientist
-3.7039735,21.618225,Visiting Scholar
-10.911938,-16.011726,Director Artificial Intelligence
-15.775384,-12.131899,"Account Executive, Artificial Intelligence "
-10.97702,-15.380136,Co-Founder | Head of Artificial Intelligence
-10.893376,-15.40808,Chief AI Officer
-1.5882881,-0.43089092,CEO
-23.204678,1.4130132,Business Intelligent Analyst
2.7954075,16.918287,Founder and CEO
-16.707365,-11.316056,Artificial Intelligence & Analytics Manager
-23.534523,-20.548157,Data Scientist
3.1954544,-11.158823,Consultora BI
2.4568539,23.117144,Founder
1.4720784,-17.137115,Chief Technology Officer | Gerente de Tecnología
-32.37578,7.7428536,Junior Machine Learning Engineer
-8.846353,-15.173741,Chief Technology Officer
-29.280752,11.196401,Artificial Intelligence Programmer
-1.2101842,4.2521777,Chief Executive Officer
2.7855117,16.93591,Founder & CEO
-1.7106864,-0.49566877,CEO
-10.96911,-15.469855,Head of Artificial Intelligence
2.2572258,-20.186035,Director de desarrollo de productos
-29.387093,11.251628,Artificial Intelligence Developer
-14.504584,2.198513,Advanced Consultant- A
-29.863398,11.700803,Artificial Intelligence Engineer
-23.605152,-4.1927958,Artificial Intelligence Specialist
-30.8622,3.696301,Machine Learning Scientist
-29.863342,11.701188,Artificial Intelligence Engineer
-1.7736738,-6.745525,Director of Data & Artificial Intelligence for Latin America - Customer Success
-29.863293,11.700378,Artificial Intelligence Engineer
1.0343714,-7.790044,Gerente de Dados e Analytics
-12.072986,9.072061,Artificial Intelligence Program Manager
-23.533237,-20.547874,Data Scientist
-7.7666273,6.25856,Commercial Management
-28.724699,8.656369,Artificial Intelligence Consultant at Google Cloud
-23.93875,1.9918936,Business Analytics
-30.785349,9.643563,Machine Learning Dev
-21.790321,-5.7134786,Business Intelligence Analyst
-23.53547,-20.551981,Data Scientist
-22.566952,-0.28467187,Business Intelligence Architect
-21.523838,-7.0518394,BI Analyst
-23.93181,-1.1625963,Senior Power Bi Developer
-28.562088,-3.3679447,Big Data Engineer
18.448425,-1.1319175,Abogado procurador
-10.938971,-10.675644,Project Manager
-13.116063,13.573571,Jr Designer
3.7935674,-13.386879,Consultora BI Jr.
4.1839104,-9.354358,Desarrollador Junior BI
6.6600456,8.275945,Auxiliar BI
-30.136705,-6.1950936,Junior Data Engineer
-18.049051,-2.2481494,Junior BI Analyst
-27.107347,-13.673209,Data Engineer
-29.614353,-6.889198,Data Engineer Jr
3.845641,-10.150098,Desarrollador Power Bi
-27.55852,-11.531229,Data Engineer
-21.17964,-9.556923,Data Science Manager
-14.690734,-22.007484,Data Analyst
-26.625261,1.0316314,BI Data Analyst
-31.60512,-11.959002,Data Engineer
4.026129,20.22636,Co-Founder
6.325368,-13.13381,Consultor de inteligencia empresarial
-29.990553,-6.2125626,Jr. Data Engineer
-23.532942,-20.549473,Data Scientist
-14.6904,-22.007439,Data Analyst
-30.322289,-10.399122,Data Engineer
-23.519693,18.94315,Dev Python 
-28.697206,-6.1456466,DataOps Engineer
-21.523668,6.9938583,Senior Tech Support Engineer
-1.1809118,22.490738,Environmental project in technology
-13.630816,24.548624,C++ Developer (intern)
-24.553719,-1.4417831,BI Developer
-31.105814,-9.9838915,Data Engineer
-21.81453,0.50481087,Business and RPA analyst
-26.17909,-6.8078833,Data Engineering Manager
18.155102,0.1269648,Instrumentadora Quirúrgica
-32.295017,4.7170033,Machine Learning Engineer
-32.63013,-9.921627,Data Engineer
-23.536283,-20.542366,Data scientist
18.892923,-23.940596,Analista de datos
-29.6364,-11.111571,Data Engineer
-23.53567,-20.544407,Data Scientist
-12.98626,-14.633149,Co-founder - Data Scientist
-36.888546,-12.5534935,Data Engineer
18.884237,-24.044937,Asesor en Dirección de Datos y Análisis estadístico
-19.65887,7.662415,Technology Consulting Senior
-17.989218,-7.1144447,Senior Business Intelligence Analyst
-23.544909,19.063238,Junior Python Developer
-22.399185,-13.875828,Senior Data Scientist
-21.46018,-7.254182,Analista Senior Business Intelligence
-20.225586,-4.0805607,Operations/Business Automation Analyst
-24.93891,-10.96203,Data Scientist Sr.
-27.297602,2.7118301,Quantitative Developer
-32.88551,5.9375715,Machine Learning Engineer
-14.71545,-22.009148,Data Analyst
-6.879338,23.607647,Post Sales Operation
-17.806555,-1.8882365,Junior Analyst N3
-28.714865,-11.2959175,Data Engineer
-23.534098,-20.549524,Data Scientist
-31.297043,-10.019724,Data Engineer
-21.233782,9.54464,DevOps Engineer
6.0577197,-17.324202,Supervisor Comercial - Peugeot
-28.773369,-2.0511723,Data analyst and data engineer
-26.062431,-4.5166616,BI & Data Analyst
-36.22144,-8.005405,Data Engineer
-26.124681,4.717152,Data Analytics Manager
-20.078527,-1.989002,BI Consultant
-20.543253,-11.840228,Lead Data Scientist
-23.576235,-21.422176,Data Scientist
-16.440107,10.880938,User Experience Researcher
-30.128712,2.388962,Data Scientist - Physicist
-18.011198,-2.8946185,Business Analysis  Sr. Advisor
-33.77775,-9.87197,Data engineer
-21.694136,-0.5227836,Power BI Consultant
-31.626999,-9.914544,Data Engineer
-36.6949,-9.172474,Data Engineer
-27.40499,-14.635988,Data Engineer
-37.76725,-8.545928,Data Engineer
8.824644,10.947013,Fundador
-24.023378,-10.072069,Analista Jr. Data Scientist
18.72886,-14.503831,Coordinador de expedición
-21.605257,-20.939833,Data Scientist
-13.433577,24.549381,R/Shiny Developer 
3.8637629,-7.672413,Economista
-30.930042,-10.121086,Data Engineer
-23.88138,-2.7821357,Data Analyst & Managment Control
-14.696925,-22.007875,Data Analyst
12.953805,9.183088,Científico de datos
-11.138055,17.217346,Professor
14.612609,-1.3557234,Estudiante
-24.305964,2.750165,Business Intelligence - Data visualization
-13.418836,24.468504,React Developer
-30.066141,-11.063181,Data Engineer
-11.9990225,0.16028862,Customer Support Professional
-29.990553,-6.2125626,Jr. Data Engineer
-24.862299,-10.95922,Sr. Data Scientist
-18.180807,-3.0298784,Business Analyst - Corporates
-23.453588,0.84491205,Business Process Analyst
11.506414,-23.304937,Jefe Administrativo de Obra
18.892889,-23.940561,Analista de datos
22.91898,-7.9730344,Contador público certificado
10.795877,13.969884,Pasante BI
7.4654875,18.315512,Varios
-1.7929641,-9.599391,Analista business BI
-4.0054526,26.982664,Event Validator
4.290514,-8.621741,Analista BI
-31.280107,5.6818476,Machine Learning Engineer
-0.3477763,-19.597391,Fundador - Manager
-21.419346,17.049807,Software QA Tester
3.853385,-9.067354,Analista Power BI
-31.173128,6.65302,Machine learning engineer
-31.616053,10.751594,Machine learning engineer
-23.132711,-21.194807,Data Scientist
-31.60597,11.5061245,Machine Learning Engineer
-28.92246,2.1490183,Data Science Jr
-25.154606,-8.66688,Technical Sourcer Data Researcher 
-30.820879,-13.7209835,Data Engineer
7.267615,-23.063889,Administrativo
-2.636733,-9.986799,Especialista BI & Analytics
-37.058704,-10.4969,Data Engineer
-12.659502,-19.704775,Data-analyst
6.568933,7.6562033,barista/cajero
16.556463,5.7745585,Analista de Control de Gestión
-23.579391,-20.409227,Data Scientist
-22.3939,-13.882478,Senior Data Scientist
-21.047903,-5.622176,Business Intelligence Associate
-8.296474,21.560804,Key User SAP - MM
-14.738016,-22.009,Data Analyst
-14.67823,-22.006006,Data Analyst
-20.241896,23.398624,Data Visualization 
-32.196686,-13.574836,Data Engineer
16.038836,3.659851,Mantenimiento de PC
