x,y,z,Position,clusters,company
-17.093027,-8.980174,11.778307,Data Analyst,8,Morningstar
-13.870893,8.538893,-5.70134,Business Development,7,DUQUESILVER SA
-10.197609,6.348136,7.653985,Machine Learning Leader,15,Rocketfy
-10.150717,5.739466,11.866859,Machine Learning Intern,15,
-12.676461,-0.264814,-2.0539474,Technical Lead,7,iNeuron.ai
-16.11951,-7.860783,10.421829,Data Science Analyst,8,
-17.519913,-9.776764,12.7693615,Data Analyst,8,
-17.655775,-15.05244,6.852963,Data Scientist,12,
-8.751526,1.3698642,10.543682,Data Science - Applied Intelligence,15,VectoScalar Technologies Private Limited
-16.377844,-9.560865,12.39134,Data Analyst,8,Accenture
-11.405588,-1.8239846,4.6537557,Business Intelligence Consultant,1,Grupo Éxito
2.297746,11.118207,-0.9014819,Translator and Presenter,17,Intrum
1.7359571,-5.8739514,8.368828,Ejecutivo de Data Analytics,3,Accenture Argentina
-17.655775,-15.05244,6.852963,Data Scientist,12,MEETOPTICS
-16.493473,-9.778589,12.506895,Data Analyst,8,DataDevs Consulting
-8.423083,-0.7538902,6.302687,Reporting Analyst (BI analyst),1,Amookhteh
8.44628,0.14344968,6.3419476,Practicante en el departamento de Planificacion y Control de Mantenimiento,11,Telefónica
-18.344378,-6.8622293,0.78365475,Senior Data Analyst,12,Winclap
-13.228934,8.930946,2.144582,Agile Business analyst /Scrum Master,2,Northern Commerce LLC
9.462296,2.9796865,13.229066,Científico de datos,11,
-17.655775,-15.05244,6.852963,Data Scientist,12,Teleperformance
3.480827,-6.0114813,9.223765,Analista de Data ,19,Ingenio Azucarero Guabirá
2.737966,-10.321378,3.2017586,Programador de Inteligencia Artificial,3,FCM Lab Barcelona
-8.432231,3.773902,10.977977,Postdoctoral Researcher in Neuroscience Data Analytics,15,Ventura Group Colombia
5.120654,-5.5348477,10.850286,Analista de datos,19,Konecta Corporativa
-15.780942,2.1947553,-10.076032,Sales Marketing Manager,16,3click.com
-15.991478,-1.7592219,7.1420565,Market Data Analyst,1,
7.4956503,6.0196543,5.828121,Analista de Datos Clínicos en el Departamento de Hospitales,11,Bestoffice SAC
